,x,y,area,perimetro,largox,largoy,m0,m1,m2,m3,m4,m5,m6,r,g,b,pr,pg,pb,clase
10,49,50,6952.5,319.6639951467514,4675570,4328943,0.1608773519954529,0.00042114261617021744,1.3612398141553681e-05,4.987849753262005e-08,-3.863868611138226e-14,-1.0148708617942752e-09,-1.4008114534892542e-14,1480064,941447,898879,148,94,89,Apple Braeburn
11,52,50,6913.5,361.9482650756836,3919631,4648438,0.16680109648649405,0.0006180764358536098,0.00014353196941623573,8.159421588032884e-06,-2.2513464457269648e-10,-1.586322536312511e-07,-1.651794583113257e-10,1598034,1058726,873025,159,105,87,Apple Braeburn
12,50,48,7279.5,323.17871356010437,4849555,5579661,0.16126463620502407,0.0003967037102315818,4.3029665164600074e-05,3.2476747463520177e-07,-1.0221066920537485e-12,-4.548809288366019e-09,-6.551773906098473e-13,1711028,1219691,956703,171,121,95,Apple Braeburn
13,52,50,6891.5,361.9482649564743,3914290,4641577,0.16710581267825328,0.0006480958422054386,0.0001525380540029355,8.707685107654605e-06,-2.6237574401877116e-10,-1.7846890157678075e-07,-1.7852775131566942e-10,1595147,1058984,869647,159,105,86,Apple Braeburn
14,49,49,7424.0,327.2203440666199,4643105,4643105,0.1594800130916003,3.900081041253654e-05,1.3139259368698721e-05,3.536210911386573e-09,-2.7761684616598936e-16,-1.0498166165775112e-11,-7.098881874629571e-16,1421020,816820,789596,142,81,78,Apple Braeburn
15,49,47,6977.5,316.3502857685089,4758182,5454112,0.16150527400633283,0.000490678613665625,3.511832782018864e-05,3.247603699081004e-07,-7.324312464265485e-13,-3.962923648014259e-09,-8.16349281679527e-13,1749009,1266088,1018975,174,126,101,Apple Braeburn
16,49,49,7562.0,330.0487701892853,4928832,4928832,0.1595091499868193,5.7855372199886906e-05,1.1445627503844198e-05,4.764670293067112e-09,-5.242314339088887e-16,-1.2887109367945813e-11,9.814435073726246e-16,1388775,786484,757439,138,78,75,Apple Braeburn
17,55,52,5786.5,442.23253548145294,3172573,4130159,0.1817105634464721,0.0006541314084012524,7.850338132098964e-05,9.195830903827013e-05,-4.991905339806509e-09,-5.782997730823164e-07,-6.010611842457597e-09,1582342,1064507,968655,158,106,96,Apple Braeburn
18,54,50,6403.5,386.29141080379486,3722674,5118716,0.17306791435066682,0.00037656852326645434,2.981071790505406e-05,2.7206043535326477e-05,-7.407231658760279e-10,-2.7363028789049223e-07,-2.2722136250973745e-10,1690025,1173318,938627,169,117,93,Apple Braeburn
19,48,50,7012.0,321.2203427553177,3933810,3247179,0.16072420838018087,0.00025981662640066366,3.652420959640263e-05,2.1046982278909835e-07,-5.505130393611712e-13,-3.3352118602364435e-09,1.9354957259705832e-13,1445529,882732,852481,144,88,85,Apple Braeburn
20,50,50,6943.0,317.42135298252106,4497052,4497052,0.16095397259688318,0.0004273323020058003,2.0124855856146766e-05,1.0421115781905769e-07,-1.4441098016339194e-13,-2.094760262188133e-09,4.383335791299972e-14,1643095,1143333,980449,164,114,98,Apple Braeburn
21,51,49,6841.0,317.4213538169861,4180937,4883132,0.16064463702634912,0.00021519982036599411,6.303602329413018e-06,1.0747823037479749e-07,1.2534732426289009e-14,-1.1605053024850597e-09,-8.757322325230629e-14,1709902,1210718,984516,170,121,98,Apple Braeburn
22,50,49,7044.5,315.17871367931366,4499953,4852620,0.1608397534271878,0.0004138871480209066,1.7684055554975664e-05,9.013506212779383e-08,-1.1042860688856862e-13,-1.8108781207944598e-09,2.748318876489351e-14,1665340,1168805,978133,166,116,97,Apple Braeburn
23,48,50,6905.0,320.3919166326523,3549776,2883190,0.16115438033989166,0.0003196478283108283,6.011560620009849e-05,4.5465686207297413e-07,-2.3724940469126995e-12,-8.121632687443187e-09,1.454040613932609e-13,1449239,914831,879470,144,91,87,Apple Braeburn
24,49,49,7108.0,321.07820761203766,4677789,4677789,0.16086331185244612,0.00041887459010010085,1.4522140281004473e-05,5.505605124717439e-08,-4.9048988958829995e-14,-1.1211740426874597e-09,-4.208587351694999e-15,1461984,907501,862407,146,90,86,Apple Braeburn
25,54,51,5954.5,439.26197254657745,3292328,4265580,0.17497893328340483,0.0004370593996204384,8.658484353585977e-05,4.113294202607947e-05,-2.265233475800449e-09,-2.9455032590173356e-07,-9.457634550522239e-10,1555003,1026929,948999,155,102,94,Apple Braeburn
26,49,49,7488.0,328.04877054691315,4664156,4664156,0.15962372270214603,0.00010228313527180439,4.6394105954547555e-06,5.3232404263511045e-09,-6.981796530590203e-16,-4.310854880270058e-11,4.608391845323017e-16,1454843,827327,778266,145,82,77,Apple Braeburn
27,48,49,7535.0,328.048770070076,4969509,4600594,0.15956845565285788,9.006017351592803e-05,3.949040121269654e-06,4.717040695527325e-09,-5.500697459718766e-16,-3.801326829091047e-11,3.345149547403701e-16,1479019,846233,784438,147,84,78,Apple Braeburn
28,49,49,7538.0,326.8771971464157,4928378,4928378,0.15931717675046356,2.847279988680135e-05,5.369436890121331e-07,1.2194295026946646e-11,2.5088244726537104e-22,-1.7120132935283242e-15,-3.120221176853844e-20,1573876,929089,807644,157,92,80,Apple Braeburn
29,49,49,7467.5,327.46298456192017,4655967,4655967,0.15962521352203107,0.00010399376758995894,4.996674547144042e-06,6.094636029443593e-09,-9.490586371222058e-16,-5.207862706906065e-11,4.800506326109067e-16,1443419,817645,774701,144,81,77,Apple Braeburn
30,49,49,7468.0,326.87719762325287,4678316,4678316,0.15960281239799798,0.00010010918335079798,3.5405902890276796e-06,4.218936866907983e-09,-3.2073729801941437e-16,-2.2438685978821003e-11,4.037412841386634e-16,1420823,808319,774552,142,80,77,Apple Braeburn
31,50,49,7117.5,318.3502857685089,4713737,5072873,0.16077465712355016,0.0003809718088345416,1.8005875860920213e-05,7.627386179962789e-08,-8.817514389106126e-14,-1.4883973034197523e-09,1.4664450474309433e-14,1596218,1073810,923693,159,107,92,Apple Braeburn
32,49,48,6707.0,313.4213527441025,4278372,4607334,0.16215813030528192,0.0007791893216616804,1.4356593460251015e-05,9.657322030615732e-08,-1.1237760931951395e-13,-2.6879489204712334e-09,-1.737694591567744e-14,1675895,1135701,1010775,167,113,101,Apple Braeburn
33,49,49,6815.5,313.1787132024765,4594947,4594947,0.1622165540952582,0.0007819496555263614,1.3601244993373435e-05,1.1244723986767404e-07,-1.2180674982484363e-13,-2.829533690741153e-09,-6.709483677887412e-14,1696185,1177409,1017802,169,117,101,Apple Braeburn
34,49,49,7559.0,328.04876947402954,4737336,4737336,0.15944890179552468,5.883660568658777e-05,1.6646817786167978e-06,1.846554853751545e-09,-5.5371550300603064e-17,-6.839317584693997e-12,8.611246669280801e-17,1514843,870481,790226,151,87,79,Apple Braeburn
35,54,51,6528.0,353.5046138763428,3277070,4341354,0.170929588782382,0.001239624394139672,0.00034694978645970036,1.81297881382539e-05,-1.41573464328427e-09,-6.176875549680858e-07,-2.5138030142896113e-10,1571238,1067536,866589,157,106,86,Apple Braeburn
36,49,50,6820.5,316.4924216270447,4445038,4107778,0.16139802698228561,0.0005613453770872036,1.1037925691621083e-05,4.0583836812788936e-08,-2.6793734299707315e-14,-9.615364640541622e-10,-4.4620179480778476e-15,1560707,990456,931077,156,99,93,Apple Braeburn
37,53,51,6708.0,355.36247849464417,3586544,4304700,0.16894374856569283,0.0009122160496247019,0.00023859783031993288,1.2568309097282004e-05,-6.460702872377474e-10,-3.4542063758929545e-07,-2.3724728304493576e-10,1584649,1062212,866853,158,106,86,Apple Braeburn
38,49,49,6961.5,316.8355680704117,4715699,4715699,0.16103422890869204,0.0004651933977353007,1.2482708921188258e-05,5.1276219767843674e-08,-4.047985754508108e-14,-1.104256168959278e-09,-6.653980129403948e-15,1497297,940452,895111,149,94,89,Apple Braeburn
39,10,39,6.5,10.242640614509583,50,-1960,0.19066403681791766,0.009088193733920938,0.00065793139747165,2.6317255900483176e-05,-3.4629897905511835e-09,-2.5088771239774345e-06,3.466010843689069e-19,1604715,1063402,884015,160,106,88,Apple Braeburn
40,49,49,7055.5,319.32084834575653,3850355,3850355,0.15992158457765415,0.0001410656541081733,2.21503217425729e-05,5.167288496024798e-08,-5.380074783181691e-14,-6.015080314482564e-10,1.2711561629179517e-14,1472987,948756,886123,147,94,88,Apple Braeburn
41,48,49,7153.5,320.977702498436,4238802,3888402,0.15967633343252186,9.530591269728156e-05,1.4575772338870271e-05,2.0959108072692527e-08,-1.1582137685255405e-14,-2.0431992050156883e-10,-2.3086617749282693e-16,1509584,980270,894696,150,98,89,Apple Braeburn
42,55,52,5727.5,443.06096279621124,3288574,4236154,0.1877376642305731,0.0007204044962690677,5.2286483840323974e-05,0.00013924568539856126,-1.652885862275409e-09,-4.549170221287903e-07,-1.1765859671750086e-08,1608381,1102055,985887,160,110,98,Apple Braeburn
43,50,49,7024.0,321.42135417461395,4584083,4939220,0.1606342567175284,0.00032259838119067777,1.7976566342892575e-05,9.948889485252174e-08,-1.3275213532566502e-13,-1.7863514347395647e-09,8.899766219104845e-15,1697114,1193119,973242,169,119,97,Apple Braeburn
44,50,49,7179.5,319.17871367931366,4755464,5117288,0.16073259401878592,0.00036129830998296,2.0359736033359226e-05,1.0506478421377168e-07,-1.4893137657054019e-13,-1.987131434905484e-09,3.784226470553612e-14,1666635,1160857,957377,166,116,95,Apple Braeburn
45,55,50,6221.0,397.0193338394165,3422702,5136682,0.17903308198479917,0.00069694512681674,7.907589213217327e-05,5.635865381565207e-05,-3.192667809861879e-09,-9.385588216390495e-07,-1.9905767247606013e-09,1689967,1171839,933935,168,117,93,Apple Braeburn
46,49,49,6975.5,318.8355666399002,4755747,4755747,0.16115354720695899,0.0004959323032255844,1.1102816942784677e-05,4.5847469387408214e-08,-3.1703572169469474e-14,-1.008746896026074e-09,-8.054343419226408e-15,1511103,942909,892504,151,94,89,Apple Braeburn
47,49,50,6949.0,323.220342874527,3644801,3301857,0.16109859465090443,0.0003003028402572326,5.4615469001172417e-05,4.138698420724995e-07,-1.9301803505136844e-12,-7.162587876460753e-09,3.8229723905045203e-13,1446071,898047,866362,144,89,86,Apple Braeburn
48,53,49,6452.0,385.3624781370163,3688905,5060610,0.17048339339639781,0.00026607656347115273,1.1828079167029322e-05,1.7679369033054943e-05,-2.5533623984987827e-10,-8.071574619964799e-08,-1.2797471028542944e-11,1704240,1195703,966760,170,119,96,Apple Braeburn
49,48,50,6930.5,315.32084918022156,3824655,3146214,0.16062411832215578,0.000259662132870051,4.508129644689688e-05,2.2188213622483427e-07,-6.81409460949841e-13,-3.55148029988902e-09,1.6772771804205838e-13,1452615,923271,884098,145,92,88,Apple Braeburn
50,49,49,7244.0,322.2497810125351,4896088,4896088,0.16034918639161377,0.00019710986000555546,2.5463473535686242e-05,1.433444304754426e-07,-2.72158804094035e-13,-2.012441984388352e-09,-3.048585529690261e-14,1456835,868680,827159,145,86,82,Apple Braeburn
51,50,49,7207.5,321.8061298131943,4080835,4443310,0.15962353315288094,9.222787537998447e-05,1.1002846650676007e-05,1.4246232387998235e-08,-5.623384722041943e-15,-1.3676516719328713e-10,-4.365563722544923e-16,1536596,1003775,901231,153,100,90,Apple Braeburn
52,49,50,7354.0,326.24978137016296,5048843,4682122,0.16040707654374356,0.0002119608851980882,2.431696035830453e-05,1.314665097811051e-07,-1.920259921315742e-13,-1.7161659827115836e-09,-1.3556868607771105e-13,1427534,838173,793737,142,83,79,Apple Braeburn
53,50,49,7316.0,330.87719678878784,4267939,4636254,0.15962413512693968,9.317765575592312e-05,8.394066079560234e-06,1.0163107890222003e-08,-2.2615020357674443e-15,-8.246879001757652e-11,-1.922797984057032e-15,1575129,1043228,916035,157,104,91,Apple Braeburn
54,49,50,6826.5,316.8355667591095,4553839,4215047,0.16168237930249485,0.0006345602060246722,1.2087604474588286e-05,5.158795716079569e-08,-3.904412816280747e-14,-1.2890632217801305e-09,-1.1622673191610644e-14,1590795,1013605,935699,159,101,93,Apple Braeburn
55,55,52,6329.0,361.16146767139435,2941649,3986689,0.1740398349079027,0.0016066106706264707,0.00048611143664267585,2.917146685508255e-05,-3.4623834482389987e-09,-1.1580959715236367e-06,-2.8145273767829334e-10,1562828,1080021,873389,156,108,87,Apple Braeburn
56,49,49,6848.0,317.42135417461395,4465290,4465290,0.16196559528979265,0.00071691754511442,1.557481111912483e-05,9.32666163950199e-08,-1.060938280710279e-13,-2.4465805219953018e-09,-3.714649502782889e-14,1633368,1066628,958704,163,106,95,Apple Braeburn
57,49,49,7553.0,330.0487701892853,4922365,4922365,0.1594984538908892,5.520978208270143e-05,1.1446333640137148e-05,4.741564766401305e-09,-6.663047463112635e-16,-1.7478207007030256e-11,8.810443943739533e-16,1390459,789792,759919,139,78,75,Apple Braeburn
58,0,53,5.0,16.82842707633972,1,-122,0.44977777777772937,0.17379634567897193,0.001388395105621391,0.0001447618545950399,-6.489896108235546e-08,-6.0349608715614055e-05,-6.014097283019584e-17,1559621,1116421,898643,155,111,89,Apple Braeburn
59,49,49,7515.0,328.04877054691315,4629010,4629010,0.15959773412946726,9.497235937119452e-05,4.320482720578992e-06,4.71893926059243e-09,-5.410108203874399e-16,-3.609148477725199e-11,4.016432608412074e-16,1471580,839440,782089,147,83,78,Apple Braeburn
60,49,48,6764.0,311.76449966430664,4456066,4790366,0.16208461290543488,0.000742707340575677,1.501562862223256e-05,1.4131236165350829e-07,-1.794797219840023e-13,-3.435855238752383e-09,-1.0079443941650163e-13,1726212,1228605,1048984,172,122,104,Apple Braeburn
61,49,50,7292.5,325.1198385953903,4683178,4319206,0.1596572457956801,0.00011468593087727532,5.437215894818644e-06,4.647870030650435e-09,3.60547066018051e-18,8.958956364812786e-12,7.388632759959721e-16,1426188,847794,819216,142,84,81,Apple Braeburn
62,49,48,6797.5,313.1787134408951,4552039,4889775,0.1619987975258203,0.0006646883778008916,2.2864818088459887e-05,2.6877883315801786e-07,-4.2476319300675674e-13,-4.491275138917268e-09,-5.133668599803701e-13,1748638,1261201,1051691,174,126,105,Apple Braeburn
63,49,49,7553.5,328.63455736637115,4877964,4877964,0.1595065195234291,7.469215127983901e-05,1.6915254813750088e-06,1.9987072165425497e-09,-8.551792395624698e-17,-1.177238510576068e-11,7.869348243536464e-17,1498613,859537,786073,149,85,78,Apple Braeburn
64,49,49,7455.0,326.8771971464157,4643273,4643273,0.15958632349620383,8.769082599263296e-05,9.097489601894415e-06,7.479301574357228e-09,-3.4430787652500525e-17,3.779712550888608e-12,1.950674065639928e-15,1403504,814440,786778,140,81,78,Apple Braeburn
65,49,49,7555.0,328.0487698316574,4779769,4779769,0.1593560253819361,3.7937113549780296e-05,3.1304979857746923e-07,1.3840563060937686e-10,-6.50966947913562e-20,3.3909763613063343e-13,9.087111447435632e-19,1551509,900528,799334,155,90,79,Apple Braeburn
66,49,48,7133.5,318.35028624534607,4861701,5215648,0.161420086923625,0.0004667508010502072,3.52470363403289e-05,3.074344226889003e-07,-7.255762801970388e-13,-3.906590053764168e-09,-7.054984115199846e-13,1732024,1242213,986880,173,124,98,Apple Braeburn
67,49,49,7583.5,328.6345567703247,4955264,4955264,0.15952434432014267,6.693562637623154e-05,1.0425238595407064e-05,5.6622992504031454e-09,-2.4359408481745077e-16,-2.6402888667937637e-12,1.3539890762345167e-15,1385039,782611,754355,138,78,75,Apple Braeburn
68,49,48,7127.5,318.6934322118759,4813288,5166019,0.1614704880588731,0.0004758820459735695,3.573310334581944e-05,3.1871501196829423e-07,-7.520713298110336e-13,-4.066222291632807e-09,-7.689226417943719e-13,1734346,1240677,988559,173,124,98,Apple Braeburn
69,49,47,7127.5,319.1787143945694,4914937,5625951,0.16123611701866158,0.0004032280043561119,4.659157609313535e-05,3.337934809133503e-07,-1.0882775924250242e-12,-4.920773393339709e-09,-7.405552069276222e-13,1729813,1251845,994964,172,125,99,Apple Braeburn
70,50,49,7451.0,327.2203438282013,4379012,4751829,0.15946896326160087,3.6016430364852434e-05,1.4275157744757201e-05,3.743545413272065e-09,-6.373831482580091e-16,-1.8324988733305764e-11,-5.853663505218186e-16,1416107,812179,782300,141,81,78,Apple Braeburn
71,49,50,6946.5,318.4924212694168,4659072,4312820,0.16084173896313708,0.0004129445840853066,1.3977317847938787e-05,5.251440613309406e-08,-4.199284950556717e-14,-1.056037400126204e-09,-1.6150158113923085e-14,1477185,942134,899635,147,94,89,Apple Braeburn
72,53,51,6790.0,359.84775936603546,3580933,4303540,0.1681126362899573,0.0007839482181122394,0.0001942787088386431,1.0627634166087163e-05,-4.3663516567339804e-10,-2.592665099977875e-07,-2.062842608827986e-10,1588691,1060612,864841,158,106,86,Apple Braeburn
73,49,49,6961.5,318.0071405172348,4722232,4722232,0.16104863572330302,0.000467940743561035,1.2249304412337044e-05,5.104990652420576e-08,-4.003178673782501e-14,-1.1041863671656425e-09,-5.207046296497892e-15,1500879,941601,893534,150,94,89,Apple Braeburn
74,54,51,6347.0,349.5046138763428,3312067,4358605,0.1714496792769229,0.0013017622986165674,0.00037410466016505613,1.9684779493091097e-05,-1.6697344592085298e-09,-6.929678922392739e-07,-2.5599257446581954e-10,1589532,1101739,902638,158,110,90,Apple Braeburn
75,49,49,7680.0,330.39191579818726,4928954,4928954,0.159519793265825,8.358614463456537e-05,2.457932219184999e-06,2.80748978212942e-09,-2.1071992276647664e-16,-2.0304535756017503e-11,9.993893140709477e-17,1462208,815087,749147,146,81,74,Apple Braeburn
76,48,49,7080.0,319.56348979473114,4073561,3727475,0.15985439385183725,0.00012634635772854183,1.987906417030399e-05,4.3281646118526104e-08,-3.935922088594719e-14,-4.763305674096967e-10,7.914368804795571e-15,1480802,957104,886085,148,95,88,Apple Braeburn
77,49,49,6984.5,318.1492751836777,3727591,3727591,0.1602396465704134,0.00019091141840419507,3.305394271330676e-05,1.1630420885845638e-07,-2.2029452798062172e-13,-1.5926497934997958e-09,5.891575152336028e-14,1454006,930257,880729,145,93,88,Apple Braeburn
78,49,50,7090.5,318.8355666399002,4769310,4416168,0.16065270890054292,0.0003182192272271878,2.042040800216285e-05,1.1196651273268721e-07,-1.1090012759526035e-13,-1.6201205419219876e-09,-1.2792434762162523e-13,1458193,905595,861851,145,90,86,Apple Braeburn
79,49,50,7386.0,324.73506355285645,4578564,4209544,0.1595175157777346,4.5166456805790495e-05,1.3345855443956904e-05,3.4458416602345236e-09,2.1730062458149717e-16,3.014164693638916e-12,-7.062792538828946e-16,1423333,821762,792171,142,82,79,Apple Braeburn
80,49,49,7423.5,327.462984085083,4443632,4443632,0.15963051818084056,0.00010270233931138947,7.234258349220741e-06,8.343562247126001e-09,-1.4270048412237998e-15,-6.311189997156141e-11,-1.4715925354142629e-15,1608261,1071029,918594,160,107,91,Apple Braeburn
81,49,50,6976.5,317.6639949083328,4571357,4226103,0.16081628569831966,0.0004106183618302803,1.6631352548550185e-05,8.204597680014053e-08,-7.244332046326888e-14,-1.4683392679847456e-09,-6.274865903498543e-14,1468244,937316,892309,146,93,89,Apple Braeburn
82,51,50,7119.0,394.8183218240738,4201867,4570514,0.16424124777947458,0.000325608222714993,5.441084720784225e-05,3.6127509329630738e-06,-2.5418644594623824e-11,-3.748565417840502e-08,-4.3812728375464046e-11,1611527,1068036,897908,161,106,89,Apple Braeburn
83,49,50,7226.5,324.1492750644684,4234946,3874447,0.15979303842847953,9.743382887249047e-05,1.0061982771713153e-05,9.044690366059158e-09,2.163626815398619e-15,7.545958996542426e-11,1.6624435762049002e-15,1451086,850636,820953,145,85,82,Apple Braeburn
84,55,50,6090.0,406.19090592861176,3612078,5309344,0.18417210026661868,0.0010992128724445882,0.0001422433004846406,8.776036125662088e-05,-5.9123639455078704e-09,-1.897138074073709e-06,-7.82234135471206e-09,1693410,1189155,941514,169,118,94,Apple Braeburn
85,49,49,7084.0,320.7350631952286,3810938,3810938,0.16037783285013224,0.00020156157272463915,1.4930143473231311e-05,4.7976473217973726e-08,-2.6395445769930016e-14,-4.964939452238937e-10,3.0854629515242994e-14,1454425,871738,842944,145,87,84,Apple Braeburn
86,54,51,5856.5,440.5756815671921,3352563,4316992,0.17723672785458602,0.0005239820773002056,9.455958617025651e-05,5.544349530822774e-05,-3.5487697263252966e-09,-4.6757574856184086e-07,-1.8767624969987857e-09,1564059,1039065,954978,156,103,95,Apple Braeburn
87,50,49,7662.5,328.6345570087433,4768851,5152351,0.15929933277540737,2.421215530972776e-05,1.3153513764529707e-06,3.6818150516345383e-11,2.56219844357624e-19,1.550127519047721e-13,5.719407859727018e-22,1564341,907743,777100,156,90,77,Apple Braeburn
88,49,48,7175.5,319.5218595266342,4996728,5354250,0.16144349610670983,0.00048398406964364894,2.8734436639619114e-05,2.782555803686902e-07,-5.525937991917287e-13,-3.5785836992591917e-09,-5.600913874069912e-13,1724053,1217944,974596,172,121,97,Apple Braeburn
89,50,48,7274.5,323.17871367931366,4878264,5609801,0.16121185676192576,0.00037754230423503227,4.5786408767211335e-05,3.2457721606557716e-07,-1.0762959773314743e-12,-4.5258074891404885e-09,-6.381398899518846e-13,1711460,1219959,959528,171,121,95,Apple Braeburn
90,49,49,7521.0,328.0487699508667,4619716,4619716,0.15959352681259775,9.379261258499709e-05,4.28293747224176e-06,4.900179451125954e-09,-5.62134521158672e-16,-3.6393400695731856e-11,4.335244554703104e-16,1472537,841816,781615,147,84,78,Apple Braeburn
91,49,50,7285.5,326.29141080379486,4666023,4302502,0.15965480842675492,0.00011154474931605665,6.553806702805237e-06,5.616504804366459e-09,-1.4919731619167875e-17,9.13654323232785e-12,1.0774680086953372e-15,1422082,847534,819458,142,84,81,Apple Braeburn
92,49,49,7482.5,327.4629843235016,4658249,4658249,0.1596319017191027,0.00010123452312541933,5.513641524044547e-06,6.0819100404633294e-09,-9.596436399587235e-16,-5.0555911171315214e-11,5.652210081251703e-16,1451089,824154,777316,145,82,77,Apple Braeburn
93,49,48,6820.0,315.4213534593582,4543007,4881184,0.16194139899539195,0.0006553074573881127,2.19635341684581e-05,2.4563918324784303e-07,-3.6989393596465247e-13,-4.232522678540983e-09,-4.3440946035502657e-13,1744382,1253092,1048377,174,125,104,Apple Braeburn
94,49,50,7280.0,324.5340528488159,4664849,4301513,0.15966222047873818,0.00011590457110466552,4.39081251787369e-06,4.724827641984914e-09,-3.844809083041679e-16,-1.695358739830961e-11,5.615196477215972e-16,1432803,847127,817550,143,84,81,Apple Braeburn
95,50,49,7062.5,316.3502856492996,4519971,4873385,0.1608672512549985,0.0004218582209130884,1.7469024941281186e-05,9.305493032003259e-08,-1.0907763292550745e-13,-1.8293815993317827e-09,4.667242653589377e-14,1653427,1153940,971420,165,115,97,Apple Braeburn
96,50,50,6953.5,315.1787133216858,4465634,4465634,0.16088754018074697,0.0004136318257734856,1.9812982536259807e-05,9.626983474951853e-08,-1.308047625454447e-13,-1.941126152067269e-09,2.3824388135962577e-14,1634948,1130917,971575,163,113,97,Apple Braeburn
97,48,49,6974.5,317.3208488225937,3736544,3398681,0.16030593662758402,0.0002024774244354074,3.479986037498118e-05,1.3255864908808008e-07,-2.7336399734612767e-13,-1.863002109290589e-09,7.956891583149563e-14,1456509,930522,883382,145,93,88,Apple Braeburn
98,49,49,7075.5,320.1492760181427,3765605,3765605,0.15987761074040613,0.00012940322551530773,2.099486018451324e-05,4.69022083080144e-08,-4.537459211802048e-14,-5.198663907723931e-10,1.0359440318539035e-14,1478730,954097,887009,147,95,88,Apple Braeburn
99,50,49,7439.5,327.80613124370575,4341403,4713518,0.15948196752381352,3.916833267601135e-05,1.4089976618626734e-05,3.925219334288226e-09,-5.115982254199156e-16,-1.6482533484208107e-11,-7.683682776053302e-16,1416096,814111,784339,141,81,78,Apple Braeburn
100,50,49,7036.5,315.1787121295929,4485988,4838220,0.16083149931695656,0.00041179498978369895,1.788832951058725e-05,9.211075233517571e-08,-1.1506012066364644e-13,-1.8480205493099833e-09,2.7220630483028812e-14,1670209,1173335,982041,167,117,98,Apple Braeburn
101,50,47,7114.5,319.17871356010437,4579083,5646566,0.16116016104561567,0.0003854086464537961,4.531945859806445e-05,3.049577896597364e-07,-9.854669144919403e-13,-4.65613500899662e-09,-5.604936947643234e-13,1731158,1253058,998909,173,125,99,Apple Braeburn
102,49,49,7567.5,328.6345570087433,4937649,4937649,0.15951193865538657,6.261304965971925e-05,1.058174360651545e-05,5.054612289858413e-09,-3.642207510251002e-16,-8.237276414631226e-12,1.1108007533702326e-15,1385914,784743,754931,138,78,75,Apple Braeburn
103,49,48,7136.5,319.1787142753601,4904568,5259550,0.1613849735721633,0.00045626099848577523,3.611334841442787e-05,3.092650313714587e-07,-7.109002471518322e-13,-3.7238485109521754e-09,-7.50226378531994e-13,1733745,1242507,986958,173,124,98,Apple Braeburn
104,49,49,7556.5,327.4629842042923,4826407,4826407,0.15937264173996823,4.183524039060806e-05,4.038789396760617e-07,2.869610109977111e-10,-6.090243261602503e-19,3.737844923424811e-13,3.0286725974910675e-18,1544969,896580,795572,154,89,79,Apple Braeburn
105,49,49,7691.0,330.39191567897797,4926913,4926913,0.15952668377030388,8.57044228719791e-05,2.418130887484431e-06,2.7133661868031234e-09,-1.9175277887192918e-16,-1.896675882649e-11,1.0741187794635898e-16,1465962,815335,750576,146,81,75,Apple Braeburn
